xxxxxxxgcx
ckxxxxxgxx
xxgxbmxcxx
xxxxxxxkxc
xxkxxxxkcx
xxHxxxgxxx
xxcxxxcxxx
xxxmxxxxxx
xxxxmxxgkx
cxcxmwxcxx

xxxxxxxxxg
xxxxxxxbxc
xxxxxxxxcx
xxxxxgxxxx
xxxccxxckc
cgxxxxxccc
xxxxcxcxcg
xxcxxxxxxx
xxccxxxcxg
ccxkxxxwgk

xxcxxxkxxc
xxxxgxxcxk
xcxxmxccxx
xxxxxckxxx
xgxxxcxxck
xxxxxccxxx
cxxxxxxxxx
xxxxxxxxxx
xxxxxmxwxx
xxcbxxxxxx

xxxxxxbxxx
xgxxxxxxxx
xxxgxxxgmx
xcgxxxxxxx
cxccxxxxcx
cxxcxxxxxx
gkxxmxwxxx
xxxxxxgcxk
xccxxcxkxc
xxxkgxxcxx

xkcmxcwxcx
xxxxkxxxxx
xxkxxxxxcc
xxxgxckcbx
xxxxxxxxcx
xxxxckxxxx
xxxxxxxxxx
cxxxckxxxx
xxxxxxxcxx
xxxgxxxxxx

bxxxxccxxk
xcmxxxxxxx
xxxxxxmkcx
xcxgxkgcxx
cxxxxxxxxc
xxcxxxxxcx
kxxxxxgxxc
xmxxwxxgxx
xxxmxcxxxx
xgxxxxmxkx

xgxccxxxxx
xxxxxmxxxc
xxxxxxxxbx
xxxxxxxxxx
gxkxggkcgc
xxxxxxxxxx
xxxkgxxxkx
kxxxxxxxgx
xmxcxxkxxx
xxxxcxxxxx

LVL: 0 | (6,2) | PL: 0 | Mario collected a coin | Lives: 5 | Coins: 1 | Direction: 
LVL: 0 | (1,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (1,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (0,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (1,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (2,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (2,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (1,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (1,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (2,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (3,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (4,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (3,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (3,0) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (3,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (4,1) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (4,2) | PL: 1 | Mario fought a koopa and won | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (3,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (4,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (4,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (4,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (3,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (4,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (5,2) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (5,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (4,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (5,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (6,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (6,4) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (5,4) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (6,4) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (7,4) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (7,3) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (7,4) | PL: 1 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (8,4) | PL: 1 | Mario ate a mushroom | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (8,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (7,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (8,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (9,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (9,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (9,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (0,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (0,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (0,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (1,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (0,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (0,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (1,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (1,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 3 | Direction: 
LVL: 0 | (1,0) | PL: 2 | Mario collected a coin | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (2,0) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (2,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (3,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (4,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (5,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (5,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (5,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (4,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (5,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (4,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (4,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (5,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (4,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (3,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (3,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (2,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (3,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (4,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (4,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (3,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (3,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (4,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (5,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (6,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (5,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (5,0) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (5,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (6,1) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (6,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (7,2) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (7,3) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (7,4) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (8,4) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (8,5) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (8,6) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (8,5) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (8,6) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (7,6) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (7,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (6,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (6,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (5,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 4 | Direction: 
LVL: 0 | (4,8) | PL: 2 | Mario collected a coin | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (5,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (6,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (7,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (7,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (7,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (8,8) | PL: 2 | Mario fought a koopa and won | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (7,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (8,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (8,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (8,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (7,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (8,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (9,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (9,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (8,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (9,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (0,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (0,0) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (9,0) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (0,0) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (1,0) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (1,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (1,0) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (2,0) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (2,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (1,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (2,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 5 | Direction: 
LVL: 0 | (3,9) | PL: 2 | Mario collected a coin | Lives: 5 | Coins: 6 | Direction: 
LVL: 0 | (3,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 6 | Direction: 
LVL: 0 | (3,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 6 | Direction: 
LVL: 0 | (4,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 6 | Direction: 
LVL: 0 | (4,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 6 | Direction: 
LVL: 0 | (4,7) | PL: 2 | Mario fought a koopa and won | Lives: 5 | Coins: 6 | Direction: 
LVL: 0 | (3,7) | PL: 2 | Mario fought a koopa and won | Lives: 5 | Coins: 6 | Direction: 
LVL: 0 | (2,7) | PL: 2 | Mario collected a coin | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (3,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (3,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (3,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (2,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (3,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (4,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (4,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (3,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (4,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (5,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (5,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (4,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (5,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (6,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (6,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (6,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (7,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (7,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (6,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (7,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (8,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (8,7) | PL: 2 | Mario fought a goomba and won | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (7,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (8,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (8,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (8,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (7,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (8,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 7 | Direction: 
LVL: 0 | (9,7) | PL: 2 | Mario collected a coin | Lives: 5 | Coins: 8 | Direction: 
LVL: 0 | (9,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 8 | Direction: 
LVL: 0 | (8,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 8 | Direction: 
LVL: 0 | (9,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 8 | Direction: 
LVL: 0 | (0,8) | PL: 2 | Mario collected a coin | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (0,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (9,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (0,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (1,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (1,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (1,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (2,9) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (2,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (1,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (2,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (3,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (3,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (3,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (4,8) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (4,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (4,6) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (5,6) | PL: 2 | Mario fought a goomba and won | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (4,6) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (5,6) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (5,7) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
LVL: 0 | (5,6) | PL: 2 | The position is empty | Lives: 5 | Coins: 9 | Direction: 
